content_id,date,topic,format,video_length,hook_type,posting_time,caption_length,views,likes,comments,shares,saves,retention_rate,followers_gained,engagement_rate,viral_score,viral_category,total_comments,relatable_comments,relatability_rate,is_viral
C0024,2025-01-09,Confidence,Short,55,Visual,Afternoon,69,86647,4249,251,1037,1445,76.9,280,8.06,1323.4,High,2,1,50.0,1
C0025,2025-01-09,Family,Short,37,Visual,Evening,73,108765,3516,344,1153,1754,84.3,679,6.22,1407.8000000000002,High,2,1,50.0,1
C0026,2025-01-10,Work Stress,Short,50,Text,Afternoon,243,142466,3814,270,579,1233,76.8,754,4.14,1036.9,High,6,2,33.33,1
C0027,2025-01-10,Friendship,Long,90,Visual,Night,156,89813,2797,165,526,741,61.2,266,4.71,745.4,High,6,1,16.67,1
C0028,2025-01-10,Family,Long,177,Text,Afternoon,39,4993,263,14,62,70,62.5,19,8.19,74.89999999999999,Low,7,5,71.43,0
C0029,2025-01-11,Self Growth,Long,114,Visual,Evening,127,74572,1581,72,544,513,69.0,143,3.63,544.0,Medium,4,3,75.0,0
C0030,2025-01-11,Friendship,Short,27,Text,Evening,159,4784,183,7,57,89,79.5,19,7.02,69.2,Low,7,5,71.43,0
C0031,2025-01-11,Friendship,Short,55,Text,Morning,88,6663,167,9,36,50,77.1,10,3.93,47.9,Low,7,5,71.43,0
C0032,2025-01-12,Dating,Long,151,Visual,Evening,156,66000,2858,410,1191,1325,74.1,106,8.76,1241.7,High,2,0,0.0,1
C0033,2025-01-12,Social Anxiety,Short,50,Text,Afternoon,179,14079,517,48,92,247,61.8,22,6.42,172.2,Low,5,4,80.0,0
C0034,2025-01-13,Self Growth,Short,58,Visual,Evening,87,42050,969,94,357,521,86.7,91,4.62,414.80000000000007,Medium,3,1,33.33,0
C0035,2025-01-13,Confidence,Short,26,Visual,Morning,216,94370,3484,399,1009,1225,80.0,532,6.48,1199.3000000000002,High,7,5,71.43,1
C0036,2025-01-13,Social Anxiety,Short,19,Text,Night,134,26028,494,56,109,170,98.0,128,3.19,155.2,Low,2,2,100.0,0
C0037,2025-01-14,Family,Short,41,Text,Night,251,88358,2024,112,348,812,73.1,543,3.73,607.6,High,2,0,0.0,1
C0038,2025-01-14,Family,Short,30,Visual,Morning,50,31552,767,37,158,163,83.2,120,3.57,196.2,Low,3,1,33.33,0
C0039,2025-01-14,College Life,Short,35,Visual,Evening,104,171131,3451,255,1889,1018,98.0,1085,3.86,1457.1,High,5,3,60.0,1
C0040,2025-01-15,Work Stress,Long,152,Visual,Evening,195,25561,1639,142,392,598,73.9,55,10.84,528.5,Medium,4,1,25.0,0
C0041,2025-01-15,Dating,Long,124,Visual,Afternoon,235,29216,700,72,109,142,71.3,114,3.5,170.60000000000002,Low,7,4,57.14,0
C0042,2025-01-15,Family,Short,33,Visual,Night,80,3840,172,13,63,68,70.1,13,8.23,65.4,Low,5,5,100.0,0
C0043,2025-01-16,Work Stress,Long,134,Visual,Evening,255,54275,1486,144,241,318,87.3,343,4.03,369.20000000000005,Medium,4,3,75.0,0
C0044,2025-01-16,College Life,Long,165,Text,Night,74,22858,1302,153,180,298,57.4,132,8.46,322.2,Medium,7,2,28.57,0
C0045,2025-01-17,Social Anxiety,Short,42,Visual,Night,125,58801,1309,104,696,875,84.3,175,5.07,692.6,High,6,4,66.67,1
C0046,2025-01-17,Confidence,Short,36,Text,Morning,102,69437,2335,247,703,444,72.3,275,5.37,697.3,High,5,4,80.0,1
C0047,2025-01-17,Friendship,Short,20,Text,Evening,127,59400,2574,202,910,1007,75.1,323,7.9,963.8999999999999,High,7,4,57.14,1
C0048,2025-01-18,Confidence,Short,41,Text,Evening,237,180400,13420,1376,4170,4809,62.8,850,13.18,4727.9,High,2,0,0.0,1
C0049,2025-01-18,Work Stress,Long,156,Visual,Morning,198,19872,1001,105,197,316,85.4,28,8.15,294.70000000000005,Medium,7,4,57.14,0
C0050,2025-01-18,Family,Short,29,Text,Afternoon,213,94495,2336,333,487,546,74.2,391,3.92,658.8000000000001,High,2,0,0.0,1
C0051,2025-01-19,Family,Short,34,Text,Night,88,2475,104,6,22,46,64.8,13,7.19,34.2,Low,2,2,100.0,0
C0052,2025-01-19,Dating,Short,21,Visual,Morning,247,39250,2942,215,951,850,92.5,130,12.63,972.6000000000001,High,5,3,60.0,1
C0053,2025-01-19,College Life,Short,32,Text,Evening,130,8177,153,18,57,53,72.0,39,3.44,57.60000000000001,Low,2,1,50.0,0
C0054,2025-01-20,Friendship,Long,74,Visual,Night,179,23225,675,49,132,174,75.3,40,4.43,182.3,Low,3,3,100.0,0
C0055,2025-01-20,Friendship,Short,54,Text,Afternoon,190,110541,3582,554,795,1065,85.4,670,5.42,1106.5,High,2,1,50.0,1
C0056,2025-01-21,Social Anxiety,Short,54,Visual,Evening,182,51417,1533,127,487,817,84.7,130,5.76,618.5999999999999,High,5,2,40.0,1
C0057,2025-01-21,Self Growth,Short,15,Text,Night,168,85319,3487,260,610,590,55.0,202,5.8,821.7,High,3,2,66.67,1
C0058,2025-01-21,Dating,Short,42,Visual,Evening,140,26084,631,49,256,237,87.0,101,4.5,246.4,Medium,6,2,33.33,0
C0059,2025-01-22,Work Stress,Short,44,Visual,Morning,178,78224,3692,361,545,1543,79.0,428,7.85,1122.3000000000002,High,4,1,25.0,1
C0060,2025-01-22,Work Stress,Short,32,Visual,Morning,238,20344,497,52,89,127,76.7,97,3.76,133.8,Low,7,1,14.29,0
C0061,2025-01-22,Confidence,Short,36,Visual,Night,119,70283,2617,132,972,610,78.9,92,6.16,859.8999999999999,High,3,3,100.0,1
C0062,2025-01-23,Work Stress,Short,51,Visual,Afternoon,147,17544,841,87,227,251,63.9,37,8.01,267.6,Medium,3,1,33.33,0
C0063,2025-01-23,College Life,Long,178,Visual,Evening,71,24316,886,94,238,313,73.9,145,6.3,296.5,Medium,5,4,80.0,0
C0064,2025-01-23,Confidence,Short,17,Visual,Morning,111,7418,212,24,37,70,66.4,24,4.62,61.8,Low,7,2,28.57,0
C0065,2025-01-24,Friendship,Short,32,Text,Evening,207,90110,1835,195,324,1006,74.1,132,3.73,653.9,High,7,5,71.43,1
C0066,2025-01-24,College Life,Short,26,Text,Night,177,78838,2901,388,554,1046,78.6,569,6.2,903.1000000000001,High,6,2,33.33,1
C0067,2025-01-25,Confidence,Long,61,Text,Evening,78,88812,2804,332,345,878,79.7,158,4.91,748.2,High,5,3,60.0,1
C0068,2025-01-25,College Life,Short,25,Text,Night,155,34197,1221,102,243,287,68.8,150,5.42,325.8,Medium,3,2,66.67,0
C0069,2025-01-25,Social Anxiety,Short,21,Visual,Afternoon,216,36389,902,96,151,427,94.5,110,4.33,297.9,Medium,2,2,100.0,0
C0070,2025-01-26,Friendship,Short,60,Visual,Evening,58,40648,1859,274,505,674,89.5,278,8.15,644.9,High,3,0,0.0,1
C0071,2025-01-26,Family,Short,20,Visual,Night,44,6675,257,16,37,78,75.7,39,5.81,67.10000000000001,Low,2,1,50.0,0
C0072,2025-01-26,Dating,Long,156,Visual,Evening,120,7037,312,29,112,76,60.9,26,7.52,104.60000000000001,Low,7,3,42.86,0
C0073,2025-01-27,Friendship,Short,48,Visual,Afternoon,181,1759,104,6,16,20,65.6,9,8.3,24.0,Low,7,4,57.14,0
C0074,2025-01-27,Dating,Long,88,Text,Night,102,32300,1038,112,211,407,71.7,186,5.47,332.70000000000005,Medium,4,4,100.0,0
C0075,2025-01-27,Work Stress,Long,146,Text,Afternoon,218,29458,920,39,206,150,61.6,122,4.46,227.20000000000002,Medium,5,1,20.0,0
C0076,2025-01-28,Friendship,Short,15,Text,Evening,224,55422,2053,200,308,508,89.0,221,5.54,520.9000000000001,Medium,7,4,57.14,0
C0077,2025-01-28,College Life,Long,158,Visual,Night,152,59686,2430,173,521,481,65.2,219,6.04,630.3,High,2,0,0.0,1
C0078,2025-01-29,Dating,Short,23,Text,Afternoon,117,6588,280,24,79,118,68.0,40,7.6,99.8,Low,6,1,16.67,0
C0079,2025-01-29,Self Growth,Long,88,Visual,Afternoon,39,3127,78,3,19,31,74.3,3,4.19,25.3,Low,6,4,66.67,0
C0080,2025-01-29,Work Stress,Short,44,Visual,Morning,218,22407,281,32,48,127,73.1,26,2.18,91.80000000000001,Low,5,4,80.0,0
C0081,2025-01-30,Confidence,Short,56,Visual,Afternoon,235,42955,1381,119,405,603,80.1,100,5.84,504.79999999999995,Medium,2,2,100.0,0
C0082,2025-01-30,Friendship,Short,32,Text,Afternoon,131,2138,74,9,24,39,86.9,11,6.83,30.5,Low,4,2,50.0,0
C0083,2025-01-30,Dating,Short,25,Visual,Evening,148,28920,1297,80,338,506,81.2,79,7.68,432.70000000000005,Medium,2,0,0.0,0
C0084,2025-01-31,Family,Short,57,Visual,Afternoon,203,517,25,1,3,5,81.2,1,6.58,5.4,Low,5,2,40.0,0
C0085,2025-01-31,Work Stress,Long,125,Visual,Evening,189,75168,4303,390,615,1255,74.1,348,8.73,1130.8,High,4,1,25.0,1
C0086,2025-01-31,Work Stress,Short,50,Visual,Afternoon,61,48213,2078,317,729,590,63.1,104,7.7,739.8,High,3,1,33.33,1
C0087,2025-02-01,Social Anxiety,Short,35,Visual,Afternoon,184,136004,6899,457,1841,3586,83.9,463,9.4,2593.5,High,5,4,80.0,1
C0088,2025-02-01,College Life,Short,35,Visual,Afternoon,242,116093,5203,604,1002,1061,81.6,489,6.78,1360.2000000000003,High,6,5,83.33,1
C0089,2025-02-02,Family,Short,32,Visual,Evening,202,11360,712,28,196,165,88.9,32,9.69,204.7,Low,6,4,66.67,0
C0090,2025-02-02,Family,Short,49,Visual,Evening,140,28054,1796,195,684,774,86.1,221,12.29,724.4,High,7,6,85.71,1
C0091,2025-02-02,Friendship,Long,139,Visual,Afternoon,150,16549,748,51,96,147,70.0,29,6.3,167.5,Low,6,2,33.33,0
C0092,2025-02-03,Family,Short,59,Visual,Night,89,39675,1643,158,284,355,90.3,251,6.15,416.0,Medium,7,4,57.14,0
C0093,2025-02-03,Family,Short,23,Text,Evening,181,39743,1626,107,331,291,74.1,156,5.93,403.70000000000005,Medium,7,6,85.71,0
C0094,2025-02-03,Friendship,Short,36,Visual,Afternoon,85,66215,2075,120,756,1032,82.5,131,6.02,843.5,High,7,4,57.14,1
C0095,2025-02-04,Confidence,Short,29,Text,Night,108,22645,779,56,183,159,73.9,40,5.2,210.0,Medium,6,2,33.33,0
C0096,2025-02-04,College Life,Short,44,Text,Afternoon,90,29592,1383,100,452,284,81.6,116,7.5,424.3,Medium,6,3,50.0,0
C0097,2025-02-04,Dating,Long,80,Visual,Morning,107,7806,236,21,28,47,68.2,21,4.25,53.1,Low,2,2,100.0,0
C0098,2025-02-05,Work Stress,Short,57,Visual,Evening,114,130670,5495,659,1172,2297,96.5,387,7.36,1839.2,High,5,3,60.0,1
C0099,2025-02-05,Work Stress,Long,90,Visual,Morning,49,37904,419,34,64,69,92.2,192,1.55,95.0,Low,7,5,71.43,0
C0100,2025-02-06,Dating,Short,26,Visual,Afternoon,195,25700,1861,206,363,304,88.7,109,10.64,463.70000000000005,Medium,7,4,57.14,0
C0101,2025-02-06,Family,Short,24,Visual,Evening,131,41138,1703,125,411,780,95.4,306,7.34,593.7,High,7,6,85.71,1
C0102,2025-02-06,Dating,Long,164,Visual,Morning,248,3975,154,8,47,69,56.6,7,6.99,56.5,Low,3,3,100.0,0
C0103,2025-02-07,Family,Long,138,Visual,Night,71,14166,716,48,142,156,57.8,26,7.5,184.8,Low,5,2,40.0,0
C0104,2025-02-07,Social Anxiety,Long,127,Visual,Night,183,106249,4193,356,1455,1209,68.8,520,6.79,1435.2,High,3,2,66.67,1
C0105,2025-02-07,Family,Long,94,Text,Evening,71,19246,1040,77,151,207,69.4,43,7.66,241.9,Medium,2,2,100.0,0
C0106,2025-02-08,Family,Long,102,Visual,Evening,155,1436,33,4,8,12,70.0,3,3.97,10.9,Low,6,3,50.0,0
C0107,2025-02-08,Family,Long,78,Text,Evening,142,15113,919,112,189,214,52.6,21,9.49,254.10000000000002,Medium,7,5,71.43,0
C0108,2025-02-08,Work Stress,Short,51,Visual,Night,133,65060,2991,331,938,1728,91.5,111,9.2,1258.9,High,6,3,50.0,1
C0109,2025-02-09,Friendship,Long,94,Text,Afternoon,180,25690,1003,93,126,353,90.5,107,6.13,275.20000000000005,Medium,2,1,50.0,0
C0110,2025-02-09,Work Stress,Short,43,Visual,Morning,220,32107,1946,141,589,601,92.8,82,10.21,638.7,High,6,4,66.67,1
C0111,2025-02-10,College Life,Short,54,Text,Evening,102,6909,177,16,66,32,87.9,55,4.21,56.900000000000006,Low,6,4,66.67,0
C0112,2025-02-10,Family,Short,37,Text,Evening,225,70537,2960,120,807,1141,79.3,158,7.13,985.1,High,4,3,75.0,1
C0113,2025-02-10,Self Growth,Long,173,Visual,Morning,72,122229,6046,368,1869,2239,63.6,312,8.61,2097.5,High,4,3,75.0,1
C0114,2025-02-11,Friendship,Long,120,Text,Evening,97,97410,1391,99,223,572,69.7,298,2.35,419.70000000000005,Medium,6,4,66.67,0
C0115,2025-02-11,Self Growth,Short,24,Visual,Morning,101,13209,721,32,145,110,98.0,51,7.63,169.5,Low,2,1,50.0,0
C0116,2025-02-11,Self Growth,Long,172,Visual,Night,249,75105,3671,367,648,1259,68.5,432,7.92,1077.4,High,4,2,50.0,1
C0117,2025-02-12,Social Anxiety,Long,122,Text,Afternoon,57,26739,1759,64,489,624,64.5,136,10.98,571.5,Medium,2,1,50.0,0
C0118,2025-02-12,Dating,Short,24,Text,Morning,120,2881,54,2,8,24,88.1,3,3.05,16.2,Low,4,3,75.0,0
C0119,2025-02-12,Dating,Short,38,Visual,Morning,127,6613,318,51,75,146,91.7,24,8.92,115.8,Low,7,3,42.86,0
C0120,2025-02-13,Social Anxiety,Short,27,Text,Afternoon,214,100352,3688,450,957,1095,68.5,621,6.17,1170.1,High,6,3,50.0,1
C0121,2025-02-13,Friendship,Long,123,Text,Afternoon,141,44268,1533,127,169,338,66.4,39,4.9,347.70000000000005,Medium,7,3,42.86,0
C0122,2025-02-14,Work Stress,Short,42,Text,Morning,252,56504,1345,115,322,424,72.0,196,3.9,413.5,Medium,4,1,25.0,0
C0123,2025-02-14,Work Stress,Long,133,Visual,Afternoon,200,23663,596,69,91,220,72.7,50,4.12,175.8,Low,3,3,100.0,0
C0124,2025-02-14,Friendship,Short,35,Text,Afternoon,191,25248,1049,43,290,370,88.0,82,6.94,340.5,Medium,7,3,42.86,0
C0125,2025-02-15,Family,Long,70,Visual,Afternoon,203,1857,40,3,11,8,64.0,5,3.34,11.4,Low,6,1,16.67,0
C0126,2025-02-15,Self Growth,Short,26,Text,Afternoon,67,4417,234,9,52,32,87.9,13,7.4,55.599999999999994,Low,6,3,50.0,0
C0127,2025-02-15,Social Anxiety,Long,167,Text,Afternoon,133,57404,1737,136,268,547,70.0,310,4.68,472.20000000000005,Medium,3,1,33.33,0
C0128,2025-02-16,Family,Short,55,Text,Afternoon,164,24370,452,79,68,214,98.0,87,3.34,152.4,Low,6,2,33.33,0
C0129,2025-02-16,Self Growth,Short,29,Text,Morning,77,6398,194,23,25,32,80.2,35,4.28,43.60000000000001,Low,7,3,42.86,0
C0130,2025-02-17,Work Stress,Long,177,Text,Morning,57,23323,1179,140,102,199,68.0,84,6.95,246.4,Medium,3,2,66.67,0
C0131,2025-02-17,Self Growth,Long,99,Visual,Afternoon,61,27991,926,113,219,391,77.7,74,5.89,320.1,Medium,5,3,60.0,0
C0132,2025-02-17,Self Growth,Long,158,Visual,Evening,211,22664,849,89,190,297,68.6,92,6.29,267.8,Medium,5,4,80.0,0
C0133,2025-02-18,Social Anxiety,Short,57,Text,Night,181,34720,1728,191,356,450,59.0,136,7.85,488.4,Medium,5,3,60.0,0
C0134,2025-02-18,Self Growth,Short,33,Visual,Night,94,39371,2318,218,424,654,77.6,264,9.18,641.2,High,5,2,40.0,1
C0135,2025-02-18,Family,Short,44,Text,Evening,199,32060,1189,94,396,338,74.4,72,6.29,397.5,Medium,5,3,60.0,0
C0136,2025-02-19,College Life,Short,23,Visual,Evening,189,10436,304,17,55,71,64.1,90,4.28,77.1,Low,5,3,60.0,0
C0137,2025-02-19,Self Growth,Short,21,Text,Afternoon,217,13562,446,48,98,186,76.3,55,5.74,149.2,Low,7,5,71.43,0
C0138,2025-02-19,Social Anxiety,Long,161,Visual,Evening,239,7943,417,22,99,148,51.3,43,8.64,130.10000000000002,Low,4,3,75.0,0
C0139,2025-02-20,College Life,Long,87,Visual,Evening,232,47816,1127,84,138,396,68.5,215,3.65,303.5,Medium,6,4,66.67,0
C0140,2025-02-20,Friendship,Long,97,Visual,Night,71,67420,1854,94,601,639,74.4,278,4.73,636.3000000000001,High,5,2,40.0,1
C0141,2025-02-21,Confidence,Long,82,Visual,Night,206,59476,1844,168,244,269,73.0,269,4.25,396.3,Medium,3,0,0.0,0
C0142,2025-02-21,Dating,Long,152,Visual,Evening,120,38085,1198,84,438,337,67.9,208,5.4,412.90000000000003,Medium,3,2,66.67,0
C0143,2025-02-21,College Life,Short,39,Visual,Evening,122,2721,76,5,28,22,79.1,8,4.81,26.400000000000002,Low,5,4,80.0,0
C0144,2025-02-22,Friendship,Short,59,Text,Night,178,147586,6105,623,2289,1416,69.2,684,7.07,2075.5,High,3,1,33.33,1
C0145,2025-02-22,Confidence,Short,18,Text,Afternoon,168,29674,431,28,135,195,77.1,84,2.66,161.2,Low,6,5,83.33,0
C0146,2025-02-22,Family,Long,97,Text,Night,126,10231,229,26,44,29,69.6,37,3.21,54.400000000000006,Low,2,0,0.0,0
C0147,2025-02-23,Social Anxiety,Short,39,Text,Morning,259,85958,2643,246,668,1123,68.0,367,5.44,917.5999999999999,High,7,5,71.43,1
C0148,2025-02-23,Dating,Short,48,Text,Night,70,36800,1388,98,358,327,79.7,88,5.9,399.70000000000005,Medium,6,3,50.0,0
C0149,2025-02-23,Family,Short,19,Text,Evening,52,33539,618,26,202,140,79.6,184,2.94,189.8,Low,7,1,14.29,0
C0150,2025-02-24,Social Anxiety,Short,54,Visual,Morning,36,61098,1780,237,552,458,78.3,257,4.95,583.6,High,7,5,71.43,1
C0151,2025-02-24,Family,Short,15,Text,Evening,217,112273,3590,385,955,1270,98.0,495,5.52,1199.0,High,6,3,50.0,1
C0152,2025-02-25,College Life,Long,107,Visual,Morning,123,4631,144,12,23,50,70.6,19,4.94,41.0,Low,6,2,33.33,0
C0153,2025-02-25,Confidence,Short,45,Visual,Evening,130,21722,929,54,202,457,77.2,128,7.56,321.6,Medium,2,1,50.0,0
C0154,2025-02-25,College Life,Short,30,Text,Night,179,26868,970,93,187,180,72.8,158,5.32,244.4,Medium,2,0,0.0,0
C0155,2025-02-26,Friendship,Long,111,Visual,Evening,130,30872,1709,241,245,674,62.3,75,9.29,519.3,Medium,7,6,85.71,0
C0156,2025-02-26,Work Stress,Short,43,Text,Night,162,820,44,2,8,14,83.9,1,8.29,12.200000000000001,Low,4,4,100.0,0
C0157,2025-02-26,Dating,Long,148,Text,Morning,43,53028,1610,75,153,310,62.1,205,4.05,330.2,Medium,3,0,0.0,0
C0158,2025-02-27,Self Growth,Short,43,Text,Afternoon,65,39090,1622,73,371,270,71.3,89,5.98,406.20000000000005,Medium,7,4,57.14,0
C0159,2025-02-27,Self Growth,Short,50,Text,Evening,244,46962,1669,68,611,449,71.6,94,5.96,559.6,Medium,7,5,71.43,0
C0160,2025-02-27,Family,Short,27,Text,Morning,133,2203,96,13,24,18,67.2,3,6.85,27.200000000000003,Low,3,3,100.0,0
C0161,2025-02-28,Confidence,Short,25,Visual,Evening,68,112534,4006,490,1225,1919,62.5,401,6.79,1564.2999999999997,High,6,3,50.0,1
C0162,2025-02-28,Work Stress,Long,152,Text,Afternoon,114,82442,4097,564,373,817,64.4,403,7.1,916.8000000000001,High,5,3,60.0,1
C0163,2025-03-01,Friendship,Short,25,Visual,Afternoon,107,13477,506,62,80,185,88.7,29,6.18,150.5,Low,7,4,57.14,0
C0164,2025-03-01,Friendship,Short,20,Visual,Evening,93,81825,5314,248,1739,2482,82.0,297,11.96,2021.1999999999998,High,4,3,75.0,1
C0165,2025-03-01,Friendship,Short,26,Visual,Night,97,111403,5605,857,2236,2025,95.6,832,9.63,2233.8,High,3,1,33.33,1
C0166,2025-03-02,Family,Long,109,Visual,Afternoon,197,58008,2666,168,549,699,79.5,302,7.04,729.5,High,5,4,80.0,1
C0167,2025-03-02,College Life,Long,131,Text,Night,54,55418,1806,139,491,327,74.2,121,4.99,502.90000000000003,Medium,2,1,50.0,0
C0168,2025-03-02,Dating,Long,147,Visual,Evening,101,56060,2970,275,823,902,90.8,387,8.87,951.8,High,2,2,100.0,1
C0169,2025-03-03,College Life,Short,52,Text,Afternoon,137,22865,745,33,244,158,76.0,43,5.16,226.1,Medium,3,1,33.33,0
C0170,2025-03-03,Social Anxiety,Short,50,Text,Evening,154,86955,4382,644,1962,1618,77.6,609,9.9,1837.2,High,6,3,50.0,1
C0171,2025-03-03,Social Anxiety,Short,39,Text,Evening,232,123936,5309,697,1870,1618,76.9,192,7.66,1903.7000000000003,High,6,3,50.0,1
C0172,2025-03-04,Social Anxiety,Short,29,Text,Afternoon,242,88594,2530,351,460,1240,92.4,323,5.17,879.2,High,3,1,33.33,1
C0173,2025-03-04,Family,Long,180,Visual,Evening,98,9372,365,36,42,111,72.0,22,5.91,93.8,Low,3,3,100.0,0
C0174,2025-03-05,Work Stress,Long,107,Visual,Morning,154,6428,159,11,24,46,65.5,25,3.73,41.5,Low,3,1,33.33,0
C0175,2025-03-05,Work Stress,Short,36,Text,Afternoon,35,12631,508,24,126,92,82.9,13,5.94,133.6,Low,6,4,66.67,0
C0176,2025-03-05,Friendship,Short,35,Text,Evening,171,25787,635,87,251,402,68.8,111,5.33,301.9,Medium,5,2,40.0,0
C0177,2025-03-06,Work Stress,Long,150,Text,Evening,65,2331,144,12,22,19,74.3,10,8.45,31.299999999999997,Low,4,4,100.0,0
C0178,2025-03-06,Dating,Short,40,Visual,Night,46,15668,364,46,83,187,84.1,27,4.34,134.9,Low,5,3,60.0,0
C0179,2025-03-06,Confidence,Short,51,Visual,Afternoon,184,33673,1578,65,419,549,78.1,212,7.75,503.1,Medium,2,0,0.0,0
C0180,2025-03-07,Self Growth,Short,57,Visual,Night,70,81579,3600,295,928,1764,85.7,299,8.07,1319.4,High,7,4,57.14,1
C0181,2025-03-07,Confidence,Short,32,Visual,Night,139,58671,789,49,236,227,65.1,136,2.22,251.20000000000002,Medium,4,2,50.0,0
C0182,2025-03-07,Dating,Short,55,Visual,Night,53,12431,801,86,169,406,81.6,37,11.76,286.7,Medium,3,2,66.67,0
C0183,2025-03-08,Friendship,Short,22,Text,Night,201,17491,621,69,127,243,72.4,55,6.06,199.6,Low,3,2,66.67,0
C0184,2025-03-08,Work Stress,Short,57,Visual,Morning,205,46761,1780,261,390,365,98.0,99,5.98,495.7,Medium,4,2,50.0,0
C0185,2025-03-09,Friendship,Short,23,Text,Evening,162,31904,1182,98,329,699,78.6,147,7.23,479.09999999999997,Medium,5,4,80.0,0
C0186,2025-03-09,Friendship,Short,54,Text,Morning,222,68139,3884,287,379,545,71.0,288,7.48,760.9000000000001,High,3,3,100.0,1
C0187,2025-03-09,Dating,Short,32,Text,Night,130,1368,69,2,11,20,63.2,5,7.46,17.700000000000003,Low,5,5,100.0,0
C0188,2025-03-10,Friendship,Long,71,Visual,Evening,72,17914,861,57,199,359,85.1,67,8.24,284.8,Medium,2,1,50.0,0
C0189,2025-03-10,Dating,Long,92,Visual,Afternoon,64,38473,2062,131,324,691,68.5,199,8.34,569.3,Medium,6,5,83.33,0
C0190,2025-03-10,College Life,Short,36,Text,Night,80,18849,980,113,385,390,69.1,58,9.91,391.6,Medium,7,4,57.14,0
C0191,2025-03-11,Work Stress,Short,56,Visual,Morning,76,8507,326,33,50,86,83.4,37,5.82,85.0,Low,6,4,66.67,0
C0192,2025-03-11,Work Stress,Long,180,Text,Evening,104,174259,9006,824,2107,3105,75.5,947,8.63,2839.7000000000003,High,2,1,50.0,1
C0193,2025-03-11,Self Growth,Short,27,Text,Evening,79,28197,1340,144,218,383,83.3,75,7.39,364.9,Medium,3,2,66.67,0
C0194,2025-03-12,College Life,Short,18,Visual,Morning,165,59166,752,115,335,327,80.2,290,2.58,330.3,Medium,4,0,0.0,0
